"","G","GS","QBrec","Cmp","Att","Cmp%","Yds","TD","TD%","Int","Int%","Lng","Y/A","AY/A","Y/C","Y/G","Rate","Sk","Yds.1","NY/A","ANY/A","Sk%","AV"
"106",23,18,-2,322,563,168.6,3974,22,13.7,15,5.7,191,22,22.2,39.5,485.6,260.1,46,293,18.86,19.02,22.4,13
"107",29,24,-8,384,662,172.1,4423,27,7.9,23,26.8,158,19.4,8.9,34,347.6,189,74,529,15.54,6.73,36.8,14
"108",22,0,0,4,7,108.3,55,0,0,1,25,46,16,4.7,36.3,7.4,121.6,0,0,16,4.75,0,0
"109",48,48,18,1062,1813,176,12957,86,14.2,43,7.1,223,21.4,21.1,36.5,809.9,260,100,634,19.3,19,15.6,44
"111",34,4,-4,77,141,207.1,899,6,104.1,11,17.9,78,14.7,27.4,26.6,86.5,212.4,10,60,13.74,26.67,7.6,2
"113",41,39,1,690,1276,158.7,8049,54,11.9,44,11.1,185,18.3,15.6,34.6,553.8,208.3,66,453,16.28,13.83,15.6,24
"114",0,48,4,1014,1679,181.3,12287,85,15.2,58,10.3,236,22,20.4,36.4,767.9,256.6,56,356,20.68,19.12,9.7,47
"115",22,16,-4,308,521,178.7,3371,19,11,15,8.8,183,19.5,17.7,32.8,444.9,236.5,40,248,16.96,15.31,19.5,9
"117",42,42,-2,787,1274,185.4,9476,58,13.8,34,8,196,22.3,21.5,36.2,678.7,266.4,88,587,19.54,18.75,19.8,34
"118",15,1,-1,72,112,194.3,903,7,19.3,3,8.9,154,24.3,24.2,37.6,190.4,296.7,6,44,22.09,22,14.8,3
"119",16,12,0,282,470,194.5,2767,14,11.2,12,5.6,123,20.7,20.4,31.6,445.3,268.7,19,106,19.19,18.9,12.8,4
"121",36,9,-1,138,343,118.5,1813,11,8.4,22,37.5,215,16.7,1.5,42.3,146.6,122.3,0,0,0,0,0,3
"122",24,21,-9,409,702,170.9,4388,21,11.6,20,6.5,124,17.6,17,30.8,433.5,234.3,59,330,13.63,12.99,34.9,10
"123",10,6,-4,153,262,191,1818,11,15.4,11,17.4,95,18.5,13.8,30.1,421,225.4,9,81,16.52,11.95,13.7,4
"124",19,7,-5,124,293,117.3,1632,10,7.4,12,13.5,144,14.5,10,36.5,222.2,135,35,230,11.27,7,29,5
"125",44,38,10,721,1278,164.9,7546,54,12.5,32,7.9,197,16.9,15.8,30.4,491.4,222.2,112,739,13.66,12.69,26.1,31
"126",29,22,2,345,638,164.8,4431,23,11.4,18,7.2,191,21.9,21,39.8,441.9,242.7,46,298,19.01,18.11,19.9,22
"128",10,4,-2,155,255,172.3,1762,9,7.6,11,12.3,136,19.1,15.1,33.2,442.2,203.3,11,58,17.63,13.73,14.7,4
"130",44,42,-6,678,1258,161.1,7548,36,8.7,44,10.4,163,18,15,33.6,513.5,200.9,116,635,15.12,12.42,25.1,25
"131",22,13,1,227,392,173.6,2640,16,12,17,12.9,162,20.2,16.7,34.8,374.3,221.1,28,208,17.45,14.27,19.5,7
"134",48,48,2,882,1475,179.4,11299,64,13.1,42,8.5,252,22.9,21.7,38.5,706.2,259.5,114,840,19.73,18.58,21.5,51
"135",14,8,-4,141,246,108.2,1826,9,7.4,13,12.7,105,13.3,9.1,24.5,223.4,121.8,35,215,10.36,6.62,23,6
"136",0,7,-7,150,272,97.3,1679,8,3.1,8,3.1,116,10,9.3,20.3,193.1,124.4,15,98,8.98,8.24,10.8,4
"137",33,33,9,505,913,163.9,5319,30,10.1,27,8.6,174,17.5,15.6,31.8,482,213.2,59,362,15.62,13.87,15.4,12
"138",13,0,0,17,30,158.8,159,1,10,0,0,64,14.1,16.1,27.6,39.2,230.7,2,8,13.03,15.03,11.1,0
"139",14,8,-8,148,287,132.9,1681,6,2.5,13,23.3,118,12.9,2.8,29.2,231.7,95.4,20,126,10.71,1.42,21.8,2
"140",45,45,5,932,1461,191,10768,78,15.9,43,9.1,220,22,21.1,34.6,714.8,272.3,80,516,19.86,19.01,15.6,40
"141",27,27,-1,361,660,165,4792,23,10,26,12.2,205,21.8,18.2,39.8,531.8,216.7,65,379,18.29,15.1,26.7,23
"142",18,12,4,287,424,158.9,3279,24,30.5,6,1.5,133,25.8,31.2,54,321,310.9,24,147,21.59,26.27,26.7,12
"143",38,36,-6,682,1224,165,8051,41,10.6,59,15.1,190,19.7,15.2,36,629.8,198.9,128,723,16.09,11.88,29.7,21
"144",36,35,-6,610,1013,180,6436,38,11.1,34,10.8,184,19.4,16.8,32.3,535,229.2,89,467,16.35,13.99,25.7,22
"146",15,10,-4,170,302,104.1,1953,9,9.3,12,7.3,111,11.8,10.3,22.6,215.2,139.9,31,203,10.43,9.09,10.2,7
"147",14,12,-6,184,353,141.2,1902,10,5.3,9,4.9,119,16.6,15.5,36.3,351.6,190.6,20,113,15.78,14.66,8,3
"148",29,23,-5,465,836,166.7,5370,33,11.9,28,10.2,177,19.3,17.1,35.2,552.9,222.4,71,475,16.26,14.19,23.3,13
"149",8,0,0,29,46,260.5,249,2,4.7,0,0,43,11.9,12.8,15.4,61,280.1,5,26,10.79,11.63,10.4,1
"150",9,6,0,99,185,120,1053,7,3.8,3,1.6,48,12,12,20.2,181.8,160.1,11,68,11.34,11.36,5.7,3
